id,performer
R3IvXo0W1YI,Mireille Mathieu
RXfD_CatWRQ,Emmanuel Macron
1MK7o_76QeU,French parliament
HM-E2H1ChJM,Casablanca film crew
EIzzugI7Tdo,Jil Aigrot
DYPZwzjwTN4,Philadelphia Orchestra
qRim0nZ8bBg,French soliders
m4SKLsWXaqI,French Football Federation
v3LAtdaNrNE,Placido Domingo
XmhpP7rl64g,Red Army Choir
apk5UNO48zY,Florian Laconi
ETiYmvI4SEk,James Taylor
QyjJ3ThpRkA,Django Reinhardt
vKnc9u8y4kw,Michael Sardou
seMebyG-1PA,Barbership Minions
hjCL20BHR94,Marina Tchebourkina
8hMfabeo8mo,Vincent Niclo
QXXstOweChc,Roberto Alagna
nKzEQrkZEDc,Mormon Choir of England
xcBX3ssfNLk,Charles de Gaulle
S0lL8DqQx9M,Amir Haddad
